(PDH-CSV 4.0) (Iran Daylight Time)(-270),\\DESKTOP-JNAC5VS\Memory\Available MBytes,\\DESKTOP-JNAC5VS\Memory\Cache Faults/sec,\\DESKTOP-JNAC5VS\Network Adapter(Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC)\Bytes Sent/sec,\\DESKTOP-JNAC5VS\Network Adapter(Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC)\Bytes Received/sec,\\DESKTOP-JNAC5VS\Processor(_Total)\% C1 Time,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_4)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_5)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_6)\Processor Frequency,\\DESKTOP-JNAC5VS\Processor Performance(PPM_Processor_7)\Processor Frequency
03:10.2,6697,592.7615161,6197.02194,4451.039564,3.983313686,2592,2592,2592,2592,2592,2592,2592,2592
03:13.2,6629,1301.033427,121.2122262,881.119644,3.941191912,2592,2592,2592,2592,2592,2592,2592,2592
03:16.2,6575,170.5545327,3609.626791,1925.067666,2.774031778,2592,2592,2592,2592,2592,2592,2592,2592
03:19.2,6574,643.4200972,1449.536431,1664.121386,5.074510062,2592,2592,2592,2592,2592,2592,2592,2592
03:22.2,6716,1451.142187,687.7687898,461.954146,3.099719362,2592,2592,2592,2592,2592,2592,2592,2592
03:25.2,6718,700.6504094,650.6990969,849.1723117,1.508637505,2592,2592,2592,2592,2592,2592,2592,2592
03:28.2,6669,263.7377919,2236.776197,3830.858028,2.441681083,2592,2592,2592,2592,2592,2592,2592,2592
03:31.2,6608,181.2076356,292.130692,339.0981123,3.258870635,2592,2592,2592,2592,2592,2592,2592,2592
03:34.2,6582,64.60245398,1609.40031,1052.620397,1.500949301,2592,2592,2592,2592,2592,2592,2592,2592
03:37.2,6622,81.97918773,522.9937568,458.7488423,6.049749463,2592,2592,2592,2592,2592,2592,2592,2592
03:40.2,6804,12.32091385,1728.257916,1103.221286,1.313942718,2592,2592,2592,2592,2592,2592,2592,2592
03:43.2,6808,6.66099372,666.099372,1633.94176,0,2592,2592,2592,2592,2592,2592,2592,2592
03:46.2,6812,10.65604366,2094.578581,3196.480096,0.542215626,2592,2592,2592,2592,2592,2592,2592,2592
03:49.2,6786,1757.454202,294.7407559,364.6792403,0.339079871,2592,2592,2592,2592,2592,2592,2592,2592
03:52.2,6674,97.06155188,2270.905619,2580.4985,5.081700834,2592,2592,2592,2592,2592,2592,2592,2592
03:55.2,6627,29.30359409,4407.526948,9588.269185,0.632778299,2592,2592,2592,2592,2592,2592,2592,2592
03:58.2,6589,2.329711641,17.97206123,377.7461018,1.937194216,2592,2592,2592,2592,2592,2592,2592,2592
04:01.2,6572,37.95302554,873.58543,843.2895938,2.970894926,2592,2592,2592,2592,2592,2592,2592,2592
04:04.2,6583,6.695570552,275.1879497,514.5545969,0.407535938,2592,2592,2592,2592,2592,2592,2592,2592
04:07.2,6612,1.996768164,573.0724631,242.9401266,0,2592,2592,2592,2592,2592,2592,2592,2592
04:10.2,6612,3.662931331,46.61912604,331.9947761,0,2592,2592,2592,2592,2592,2592,2592,2592
04:13.2,6611,157.1547793,194.1127889,230.0719333,0.715742544,2592,2592,2592,2592,2592,2592,2592,2592
04:16.2,6613,14.387406,608.2861421,1055.634091,0.931848844,2592,2592,2592,2592,2592,2592,2592,2592
04:19.2,6613,3.330557647,296.4196305,725.3954554,0.379664625,2592,2592,2592,2592,2592,2592,2592,2592
04:22.2,6612,12.32150059,288.0567029,99.23803174,0.396540912,2592,2592,2592,2592,2592,2592,2592,2592
04:25.2,6575,38.62700317,454.8662615,456.5312185,1.220925813,2592,2592,2592,2592,2592,2592,2592,2592
04:28.2,6585,6.659030978,591.3219508,724.1696188,0.551952696,2592,2592,2592,2592,2592,2592,2592,2592
04:31.2,6595,1.673569639,540.2282796,778.2098823,0.34985945,2592,2592,2592,2592,2592,2592,2592,2592
04:34.2,6598,2.996998606,13.98599349,13.98599349,0,2592,2592,2592,2592,2592,2592,2592,2592
04:37.2,6605,20.30676532,207.3953245,147.8066197,0.533675167,2592,2592,2592,2592,2592,2592,2592,2592
04:40.2,6835,790.1300893,718.5120585,872.0744409,8.747816139,2592,2592,2592,2592,2592,2592,2592,2592
04:43.2,6650,2100.063252,329.029891,276.4117505,5.365759258,2592,2592,2592,2592,2592,2592,2592,2592
04:46.2,6244,859.4962985,17196.58615,358250.4452,9.106425409,2592,2592,2592,2592,2592,2592,2592,2592
04:49.2,5844,868.0790946,77464.59305,3214634.146,2.666825442,2592,2592,2592,2592,2592,2592,2592,2592
04:52.2,5598,121.4824264,13833.02084,398662.7214,4.784185478,2592,2592,2592,2592,2592,2592,2592,2592
04:55.2,5552,73.60914848,1719.656261,2492.385783,4.323167849,2592,2592,2592,2592,2592,2592,2592,2592
04:58.2,5642,152.767798,276.5796082,645.3524192,2.956107705,2592,2592,2592,2592,2592,2592,2592,2592
05:01.2,5645,1.672572073,280.9921082,1278.179578,0.399036671,2592,2592,2592,2592,2592,2592,2592,2592
05:04.2,5640,79.94853446,418.7304493,209.864903,0,2592,2592,2592,2592,2592,2592,2592,2592
05:07.2,5640,0.997878178,316.3273825,454.6998233,0,2592,2592,2592,2592,2592,2592,2592,2592
05:10.2,5641,3.664181741,281.1426717,900.3893859,0.332337906,2592,2592,2592,2592,2592,2592,2592,2592
05:13.2,5634,9.375116038,444.6483607,585.9447524,1.802170863,2592,2592,2592,2592,2592,2592,2592,2592
05:16.2,5630,17.98472018,1546.352885,3216.93356,0.867738728,2592,2592,2592,2592,2592,2592,2592,2592
05:19.2,5616,37.2848717,670.79479,697.7597418,0.966847619,2592,2592,2592,2592,2592,2592,2592,2592
05:22.2,6153,0,237.5490843,318.7283232,1.331888357,2592,2592,2592,2592,2592,2592,2592,2592
05:25.2,6408,3.997082796,934.3181035,1152.159116,0.565261165,2592,2592,2592,2592,2592,2592,2592,2592
05:28.2,6401,114.0831157,1315.468653,3357.589879,3.912126416,2592,2592,2592,2592,2592,2592,2592,2592
05:31.2,6374,303.7016334,604.073205,761.5851267,0.552717669,2592,2592,2592,2592,2592,2592,2592,2592
05:34.2,6379,64.95551413,3417.992464,1587.246281,0.800915244,2592,2592,2592,2592,2592,2592,2592,2592
05:37.2,6224,684.3587331,7167.617037,37052.6138,6.598139488,2592,2592,2592,2592,2592,2592,2592,2592
05:40.2,6233,4.327224158,1847.058989,2064.085923,0.520549886,2592,2592,2592,2592,2592,2592,2592,2592
05:43.2,6261,50.90136097,2305.965603,3565.774287,3.829227364,2592,2592,2592,2592,2592,2592,2592,2592
05:46.2,6224,14.6471157,655.7913164,1056.922553,0.469336911,2592,2592,2592,2592,2592,2592,2592,2592
05:49.2,6259,854.0322391,17.97962609,0,0.193567003,2592,2592,2592,2592,2592,2592,2592,2592
05:52.2,6273,41.94723876,1424.541545,1996.488816,0.347634568,2592,2592,2592,2592,2592,2592,2592,2592
05:55.2,6281,9.373703688,2171.016729,2358.825578,0.565228963,2592,2592,2592,2592,2592,2592,2592,2592
05:58.2,6328,91.90841021,2492.183123,1850.489259,0.989565225,2592,2592,2592,2592,2592,2592,2592,2592
06:01.2,6234,106.9079843,9594.741806,20532.99392,1.761532665,2592,2592,2592,2592,2592,2592,2592,2592
06:04.2,6241,3.330751113,419.00849,1208.396504,0,2592,2592,2592,2592,2592,2592,2592,2592
06:07.2,6228,1.331749173,205.42231,628.5856098,0.572801261,2592,2592,2592,2592,2592,2592,2592,2592
06:10.2,6228,1.997956889,643.0091255,1003.640344,0.191473956,2592,2592,2592,2592,2592,2592,2592,2592
06:13.2,6245,0.669778704,0,249.4925673,0.787865977,2592,2592,2592,2592,2592,2592,2592,2592
